YYYYMM,CPI
192501,17.3
192502,17.2
192503,17.3
192504,17.2
192505,17.3
192506,17.5
192507,17.7
192508,17.7
192509,17.7
192510,17.7
192511,18.0
192512,17.9
192601,17.9
192602,17.9
192603,17.8
192604,17.9
192605,17.8
192606,17.7
192607,17.5
192608,17.4
192609,17.5
192610,17.6
192611,17.7
192612,17.7
192701,17.5
192702,17.4
192703,17.3
192704,17.3
192705,17.4
192706,17.6
192707,17.3
192708,17.2
192709,17.3
192710,17.4
192711,17.3
192712,17.3
192801,17.3
192802,17.1
192803,17.1
192804,17.1
192805,17.2
192806,17.1
192807,17.1
192808,17.1
192809,17.3
192810,17.2
192811,17.2
192812,17.1
192901,17.1
192902,17.1
192903,17.0
192904,16.9
192905,17.0
192906,17.1
192907,17.3
192908,17.3
192909,17.3
192910,17.3
192911,17.3
192912,17.2
193001,17.1
193002,17.0
193003,16.9
193004,17.0
193005,16.9
193006,16.8
193007,16.6
193008,16.5
193009,16.6
193010,16.5
193011,16.4
193012,16.1
193101,15.9
193102,15.7
193103,15.6
193104,15.5
193105,15.3
193106,15.1
193107,15.1
193108,15.1
193109,15.0
193110,14.9
193111,14.7
193112,14.6
193201,14.3
193202,14.1
193203,14.0
193204,13.9
193205,13.7
193206,13.6
193207,13.6
193208,13.5
193209,13.4
193210,13.3
193211,13.2
193212,13.1
193301,12.9
193302,12.7
193303,12.6
193304,12.6
193305,12.6
193306,12.7
193307,13.1
193308,13.2
193309,13.2
193310,13.2
193311,13.2
193312,13.2
193401,13.2
193402,13.3
193403,13.3
193404,13.3
193405,13.3
193406,13.4
193407,13.4
193408,13.4
193409,13.6
193410,13.5
193411,13.5
193412,13.4
193501,13.6
193502,13.7
193503,13.7
193504,13.8
193505,13.8
193506,13.7
193507,13.7
193508,13.7
193509,13.7
193510,13.7
193511,13.8
193512,13.8
193601,13.8
193602,13.8
193603,13.7
193604,13.7
193605,13.7
193606,13.8
193607,13.9
193608,14.0
193609,14.0
193610,14.0
193611,14.0
193612,14.0
193701,14.1
193702,14.1
193703,14.2
193704,14.3
193705,14.4
193706,14.4
193707,14.5
193708,14.5
193709,14.6
193710,14.6
193711,14.5
193712,14.4
193801,14.2
193802,14.1
193803,14.1
193804,14.2
193805,14.1
193806,14.1
193807,14.1
193808,14.1
193809,14.1
193810,14.0
193811,14.0
193812,14.0
193901,14.0
193902,13.9
193903,13.9
193904,13.8
193905,13.8
193906,13.8
193907,13.8
193908,13.8
193909,14.1
193910,14.0
193911,14.0
193912,14.0
194001,13.9
194002,14.0
194003,14.0
194004,14.0
194005,14.0
194006,14.1
194007,14.0
194008,14.0
194009,14.0
194010,14.0
194011,14.0
194012,14.1
194101,14.1
194102,14.1
194103,14.2
194104,14.3
194105,14.4
194106,14.7
194107,14.7
194108,14.9
194109,15.1
194110,15.3
194111,15.4
194112,15.5
194201,15.7
194202,15.8
194203,16.0
194204,16.1
194205,16.3
194206,16.3
194207,16.4
194208,16.5
194209,16.5
194210,16.7
194211,16.8
194212,16.9
194301,16.9
194302,16.9
194303,17.2
194304,17.4
194305,17.5
194306,17.5
194307,17.4
194308,17.3
194309,17.4
194310,17.4
194311,17.4
194312,17.4
194401,17.4
194402,17.4
194403,17.4
194404,17.5
194405,17.5
194406,17.6
194407,17.7
194408,17.7
194409,17.7
194410,17.7
194411,17.7
194412,17.8
194501,17.8
194502,17.8
194503,17.8
194504,17.8
194505,17.9
194506,18.1
194507,18.1
194508,18.1
194509,18.1
194510,18.1
194511,18.1
194512,18.2
194601,18.2
194602,18.1
194603,18.3
194604,18.4
194605,18.5
194606,18.7
194607,19.8
194608,20.2
194609,20.4
194610,20.8
194611,21.3
194612,21.5
194701,21.5
194702,21.5
194703,21.9
194704,21.9
194705,21.9
194706,22.0
194707,22.2
