PERMNO,first_ymm,last_ymm,n_months,fulllife_nominal,fulllife_real
10000,198601,198705,17,-0.9146340971913597,-0.917502270760527
10001,198601,201707,379,29.091979481301525,12.436443903271666
10002,198601,201301,325,-0.3908480502290426,-0.7108723809711408
10003,198601,199511,119,-0.6722987874045392,-0.7668115720267976
10005,198601,199106,66,-0.7500001517762731,-0.7990810043319608
10006,192512,198405,702,62.461368922046304,10.04743366147806
10007,198601,199009,57,-0.9725072419007443,-0.9773552489807938
10008,198601,198810,34,0.9733378578073464,0.7943912467416223
10009,198601,200010,178,6.8257075536410365,3.9158036529480773
10010,198601,199507,115,4.230826100885586,2.749044543126524
10011,198806,199801,116,1.0319097016998557,0.47740959127310123
10012,198601,200507,235,-0.9633845497049366,-0.9795185838421165
10013,198601,198705,17,-0.7999995700140533,-0.8067193015255176
10014,192601,197703,615,5.143552039448157,0.8482282606070928
10015,198309,198606,34,1.2857112894676765,1.0915823854306983
10016,198601,200104,184,1.2642843131615864,0.3990179504158379
10017,198601,198808,32,-0.11428629219812646,-0.18648312384248125
10018,198601,199510,118,-0.9701491778513462,-0.9787723171057393
10019,198601,200205,197,-0.8199972096629377,-0.8905767242278034
10020,198601,199304,88,1.8973187411647312,1.199145405620175
10021,198601,199512,120,-0.8175437393872815,-0.8700816333226702
10022,192512,196004,413,26.3487020100973,15.687343599381428
10023,197212,197305,6,-0.34607081507512505,-0.3684146368834921
10024,198601,199204,76,-0.9562500028135823,-0.9657213283693515
10025,198601,201612,372,20.206227327952842,8.600387052856476
10026,198602,202512,479,40.14531065658773,12.915970942997172
10027,198602,199002,49,-0.07954632056631543,-0.21186153698490762
10028,198602,202512,479,1.290560729636911,-0.22529746286666372
10029,198602,199007,54,-0.4302334169557458,-0.5211164302020685
10030,192512,196811,516,29.587750391977547,14.553093419649619
10031,198312,198907,68,-0.8163264793277092,-0.8505807050479433
10032,198602,202512,479,86.65354001866494,28.645762700184708
10033,198602,198611,10,1.0437656317416177,1.0289557358594315
10034,198602,199108,67,0.3632329187111164,0.09377985278724851
10035,198602,200311,214,-0.72892705598153,-0.8389723866426865
10036,198602,199102,61,-0.9537036562848358,-0.9623584623799555
10037,198602,200405,220,1.445315195121307,0.41727416914487103
10038,198602,199012,59,-0.7692310515705086,-0.8109695310323448
10039,198602,200105,184,-0.7399996755310511,-0.8396396423084029
10040,198602,198905,40,-0.8633408178216442,-0.8790157805593879
10041,198602,199004,51,-0.9431817648305805,-0.95168907234625
10042,198602,200802,265,-0.9485715243335698,-0.9733747712185132
10043,198602,199905,160,3.32453114531795,1.8517967119545626
10044,198602,202512,479,0.20759035122037328,-0.5915745446939324
10045,198602,198703,14,-0.7037033768422394,-0.7103112408734116
10046,198602,199502,109,-0.9016393591927025,-0.9285597996522215
10047,198602,199412,107,-0.9968931581591127,-0.9977253849982548
10048,198602,199909,164,15.955765056098922,10.068206373725106
10049,192512,193208,81,-0.9327031238080782,-0.9102708317441043
10050,197212,197805,66,0.4759339890022913,-0.029773625834153068
10051,198602,202209,440,0.27438251354212956,-0.529418602314568
10052,198602,198802,25,0.10714208464045342,0.04605838341891082
10053,198602,198912,47,-0.6166660618073436,-0.6668247452346141
10054,198602,198612,11,-0.5624993641369762,-0.5660627177322406
10055,198602,199507,114,-0.9991666634241407,-0.9994010905658086
10056,198602,200609,248,4.464592121631038,1.951795448648407
10057,192512,199606,847,486.8303477111379,55.03667044544032
10058,197212,198408,141,-0.9500999971719202,-0.9797534916754967
10059,198602,199403,98,1.7167017239086602,1.0227616096493826
10060,198602,199805,148,0.31242500832233394,-0.11645097719823108
10061,198602,199006,53,-0.8596449649955101,-0.8815788157313929
