analysis,horizon,horizon_months,window,period_number,PERMNO,start_ymm,target_end_ymm,end_ymm,realized_months,observed_rows,missing_calendar_months,is_sparse_history,terminal_reason,included_in_summary,nominal_ret,real_ret,nominal_ret_skip_first_observed,real_ret_skip_first_observed,period_end_mthretflg,period_end_security_end_dt,period_end_security_active_flg,period_end_del_action_type,period_end_del_status_type,period_end_del_reason_type,period_end_del_payment_type,stock_terminal_mthretflg,stock_terminal_security_end_dt,stock_terminal_security_active_flg,stock_terminal_del_action_type,stock_terminal_del_status_type,stock_terminal_del_reason_type,stock_terminal_del_payment_type
stock_anchored,10y,120,,1,10000,198601,199512,198705,17,17,0,False,delisted,True,-0.9146340971913597,-0.917502270760527,-0.9499999690692236,-0.9515472732978506,CR,1987-06-11,Y,GDR,VCL,INSC,PRCF,CR,1987-06-11,Y,GDR,VCL,INSC,PRCF
stock_anchored,10y,120,,1,10001,198601,199512,199512,120,120,0,False,complete,True,4.664010202808583,3.0330704571138662,4.317236021213129,2.7965411591202534,CR,2017-08-03,Y,MER,FPAY,UNAV,CASH,CR,2017-08-03,Y,MER,FPAY,UNAV,CASH
stock_anchored,10y,120,,2,10001,199601,200512,200512,120,120,0,False,complete,True,0.5182810933627058,0.18422839345109576,0.5182810933627058,0.18422839345109576,CR,2017-08-03,Y,MER,FPAY,UNAV,CASH,CR,2017-08-03,Y,MER,FPAY,UNAV,CASH
stock_anchored,10y,120,,3,10001,200601,201512,201512,120,120,0,False,complete,True,0.9269414212239164,0.6033065075440924,0.9269414212239164,0.6033065075440924,CR,2017-08-03,Y,MER,FPAY,UNAV,CASH,CR,2017-08-03,Y,MER,FPAY,UNAV,CASH
stock_anchored,10y,120,,4,10001,201601,202512,201707,19,19,0,False,delisted,True,0.8159589780681358,0.7546742758473355,0.8159589780681358,0.7546742758473355,CR,2017-08-03,Y,MER,FPAY,UNAV,CASH,CR,2017-08-03,Y,MER,FPAY,UNAV,CASH
stock_anchored,10y,120,,1,10002,198601,199512,199512,120,120,0,False,complete,True,0.2625548946197953,-0.10099511412414619,0.27613036949043535,-0.08883460263093457,CR,2013-02-15,Y,MER,FPAY,UNAV,STK,CR,2013-02-15,Y,MER,FPAY,UNAV,STK
stock_anchored,10y,120,,2,10002,199601,200512,200512,120,120,0,False,complete,True,2.0000031663541575,1.3399414940821321,2.0000031663541575,1.3399414940821321,CR,2013-02-15,Y,MER,FPAY,UNAV,STK,CR,2013-02-15,Y,MER,FPAY,UNAV,STK
stock_anchored,10y,120,,3,10002,200601,201512,201301,85,85,0,False,delisted,True,-0.8391749646062436,-0.8625570307213339,-0.8391749646062436,-0.8625570307213339,CR,2013-02-15,Y,MER,FPAY,UNAV,STK,CR,2013-02-15,Y,MER,FPAY,UNAV,STK
stock_anchored,10y,120,,1,10003,198601,199512,199511,119,119,0,False,delisted,True,-0.6722987874045396,-0.7668115720267976,-0.7244330273863442,-0.8033714830829644,CR,1995-12-15,Y,MER,FPAY,UNAV,STK,CR,1995-12-15,Y,MER,FPAY,UNAV,STK
stock_anchored,10y,120,,1,10005,198601,199512,199106,66,66,0,False,delisted,True,-0.7500001517762732,-0.7990810043319609,-0.666666869035031,-0.7313727121047016,CR,1991-07-11,Y,GDR,VCL,INSC,PRCF,CR,1991-07-11,Y,GDR,VCL,INSC,PRCF
