horizon,horizon_months,period_number,PERMNO,start_ymm,target_end_ymm,end_ymm,realized_months,observed_rows,terminal_reason,included_in_summary,nominal_ret,real_ret
30y,360,1,10000,198601,201512,198705,17,17,delisted,True,-0.9146340971913597,-0.917502270760527
30y,360,1,10001,198601,201512,201512,360,360,complete,True,15.570847604340806,6.657514610102304
30y,360,2,10001,201601,204512,201707,19,19,delisted,True,0.8159589780681358,0.7546742758473355
30y,360,1,10002,198601,201512,201301,325,325,delisted,True,-0.39084805022904134,-0.7108723809711408
30y,360,1,10003,198601,201512,199511,119,119,delisted,True,-0.6722987874045396,-0.7668115720267976
30y,360,1,10005,198601,201512,199106,66,66,delisted,True,-0.7500001517762732,-0.7990810043319609
30y,360,1,10006,192512,195511,195511,360,360,complete,True,1.9879273484008597,0.9993565900080095
30y,360,2,10006,195512,198511,198405,342,342,delisted,True,20.239261040269504,4.525494409896035
30y,360,1,10007,198601,201512,199009,57,57,delisted,True,-0.9725072419007442,-0.9773552489807938
30y,360,1,10008,198601,201512,198810,34,34,delisted,True,0.9733378578073459,0.7943912467416223
30y,360,1,10009,198601,201512,200010,178,178,delisted,True,6.825707553641029,3.9158036529480738
30y,360,1,10010,198601,201512,199507,115,115,delisted,True,4.230826100885587,2.7490445431265225
30y,360,1,10011,198806,201805,199801,116,116,delisted,True,1.0319097016998544,0.47740959127310045
30y,360,1,10012,198601,201512,200507,235,235,delisted,True,-0.9633845497049365,-0.9795185838421165
30y,360,1,10013,198601,201512,198705,17,17,delisted,True,-0.7999995700140534,-0.8067193015255176
30y,360,1,10014,192601,195512,195512,360,360,complete,True,2.695398620659902,1.4681953473810592
30y,360,2,10014,195601,198512,197703,255,255,delisted,True,0.66248696557425,-0.2511823415564721
30y,360,1,10015,198309,201308,198606,34,34,delisted,True,1.2857112894676774,1.0915823854306987
30y,360,1,10016,198601,201512,200104,184,184,delisted,True,1.2642843131615908,0.3990179504158382
30y,360,1,10017,198601,201512,198808,32,32,delisted,True,-0.1142862921981268,-0.1864831238424809
30y,360,1,10018,198601,201512,199510,118,118,delisted,True,-0.9701491778513462,-0.9787723171057394
30y,360,1,10019,198601,201512,200205,197,197,delisted,True,-0.8199972096629375,-0.8905767242278034
30y,360,1,10020,198601,201512,199304,88,88,delisted,True,1.8973187411647308,1.1991454056201754
30y,360,1,10021,198601,201512,199512,120,120,delisted,True,-0.8175437393872815,-0.8700816333226702
30y,360,1,10022,192512,195511,195511,360,360,complete,True,10.971223419039141,7.010484072219519
30y,360,2,10022,195512,198511,196004,53,53,delisted,True,1.2845369310041987,1.0831879133563693
30y,360,1,10023,197212,200211,197305,6,6,delisted,True,-0.34607081507512494,-0.3684146368834922
30y,360,1,10024,198601,201512,199204,76,76,delisted,True,-0.9562500028135823,-0.9657213283693515
30y,360,1,10025,198601,201512,201512,360,360,complete,True,12.919032085187727,5.432090505912781
30y,360,2,10025,201601,204512,201612,12,12,delisted,True,0.5235418093848585,0.49257648722933833
30y,360,1,10026,198602,201601,201601,360,360,complete,True,40.52177298131393,18.20843809093523
30y,360,2,10026,201602,204601,202512,119,119,sample_end,False,-0.009066624512775623,-0.2755282403953314
30y,360,1,10027,198602,201601,199002,49,49,delisted,True,-0.07954632056631539,-0.21186153698490784
30y,360,1,10028,198602,201601,201601,360,360,complete,True,-0.9315227295496754,-0.9683216463161815
30y,360,2,10028,201602,204601,202512,119,119,sample_end,False,32.44994206944271,23.455265095706533
30y,360,1,10029,198602,201601,199007,54,54,delisted,True,-0.4302334169557456,-0.5211164302020685
30y,360,1,10030,192512,195511,195511,360,360,complete,True,5.4193863473392145,3.295500158070862
30y,360,2,10030,195512,198511,196811,156,156,delisted,True,3.7649025525089277,2.6207875328387
30y,360,1,10031,198312,201311,198907,68,68,delisted,True,-0.8163264793277091,-0.8505807050479433
30y,360,1,10032,198602,201601,201601,360,360,complete,True,19.839900582811623,8.640771851103963
30y,360,2,10032,201602,204601,202512,119,119,sample_end,False,3.2060440581448795,2.0750403762319047
30y,360,1,10033,198602,201601,198611,10,10,delisted,True,1.0437656317416177,1.0289557358594315
30y,360,1,10034,198602,201601,199108,67,67,delisted,True,0.3632329187111152,0.09377985278724843
30y,360,1,10035,198602,201601,200311,214,214,delisted,True,-0.7289270559815297,-0.8389723866426864
30y,360,1,10036,198602,201601,199102,61,61,delisted,True,-0.9537036562848357,-0.9623584623799555
30y,360,1,10037,198602,201601,200405,220,220,delisted,True,1.4453151951213008,0.4172741691448698
30y,360,1,10038,198602,201601,199012,59,59,delisted,True,-0.7692310515705085,-0.810969531032345
30y,360,1,10039,198602,201601,200105,184,184,delisted,True,-0.7399996755310511,-0.839639642308403
30y,360,1,10040,198602,201601,198905,40,40,delisted,True,-0.8633408178216442,-0.8790157805593877
30y,360,1,10041,198602,201601,199004,51,51,delisted,True,-0.9431817648305805,-0.95168907234625
30y,360,1,10042,198602,201601,200802,265,265,delisted,True,-0.94857152433357,-0.9733747712185132
30y,360,1,10043,198602,201601,199905,160,160,delisted,True,3.3245311453179536,1.8517967119545617
30y,360,1,10044,198602,201601,201601,360,360,complete,True,4.440128141108242,1.516664320963812
30y,360,2,10044,201602,204601,202512,119,119,sample_end,False,-0.7780217083316048,-0.837711588349752
30y,360,1,10045,198602,201601,198703,14,14,delisted,True,-0.7037033768422394,-0.7103112408734116
30y,360,1,10046,198602,201601,199502,109,109,delisted,True,-0.9016393591927025,-0.9285597996522214
30y,360,1,10047,198602,201601,199412,107,107,delisted,True,-0.9968931581591127,-0.9977253849982548
30y,360,1,10048,198602,201601,199909,164,164,delisted,True,15.955765056098933,10.068206373725113
30y,360,1,10049,192512,195511,193208,81,81,delisted,True,-0.9327031238080782,-0.9102708317441043
30y,360,1,10050,197212,200211,197805,66,66,delisted,True,0.4759339890022909,-0.02977362583415266
30y,360,1,10051,198602,201601,201601,360,360,complete,True,0.6862511969415122,-0.21992127511527393
30y,360,2,10051,201602,204601,202209,80,80,delisted,True,-0.24425108438554233,-0.39675140127046815
30y,360,1,10052,198602,201601,198802,25,25,delisted,True,0.10714208464045316,0.046058383418910775
30y,360,1,10053,198602,201601,198912,47,47,delisted,True,-0.6166660618073433,-0.6668247452346139
30y,360,1,10054,198602,201601,198612,11,11,delisted,True,-0.5624993641369763,-0.5660627177322408
30y,360,1,10055,198602,201601,199507,114,114,delisted,True,-0.9991666634241407,-0.9994010905658086
30y,360,1,10056,198602,201601,200609,248,248,delisted,True,4.464592121631034,1.951795448648407
30y,360,1,10057,192512,195511,195511,360,360,complete,True,33.016884796009364,21.76222774454163
30y,360,2,10057,195512,198511,198511,360,360,complete,True,3.1500654588046704,0.024190466438954283
30y,360,3,10057,198512,201511,199606,127,127,delisted,True,2.455567080235232,1.4036809939096382
30y,360,1,10058,197212,200211,198408,141,141,delisted,True,-0.9500999971719202,-0.9797534916754967
30y,360,1,10059,198602,201601,199403,98,98,delisted,True,1.7167017239086593,1.0227616096493826
30y,360,1,10060,198602,201601,199805,148,148,delisted,True,0.31242500832233344,-0.11645097719823116
30y,360,1,10061,198602,201601,199006,53,53,delisted,True,-0.85964496499551,-0.8815788157313927
30y,360,1,10062,198602,201601,199908,163,163,delisted,True,-0.9825609962196722,-0.9885618503032679
30y,360,1,10063,198602,201601,199306,89,89,delisted,True,-0.7864521728165161,-0.837916607622508
30y,360,1,10064,198602,201601,199702,133,133,delisted,True,2.781431026034893,1.5967721832921367
30y,360,1,10066,198308,201307,201307,360,360,complete,True,-0.9997425988147002,-0.9998899194403523
30y,360,2,10066,201308,204307,202512,149,149,sample_end,False,-0.7948483455604234,-0.8521153700603377
30y,360,1,10067,198602,201601,198702,13,13,delisted,True,0.3855410762154179,0.3607105909785824
30y,360,1,10068,198602,201601,198610,9,9,delisted,True,-0.36585240222577153,-0.36987691100584386
30y,360,1,10069,198602,201601,198612,11,11,delisted,True,-0.47999998221508045,-0.484235276477582
30y,360,1,10070,198602,201601,199010,57,57,delisted,True,-0.9509804608579323,-0.9597562435208193
30y,360,1,10071,198602,201601,199708,139,139,delisted,True,7.853346406189134,5.034370436059264
30y,360,1,10072,198602,201601,199209,80,80,delisted,True,-0.8787877327599841,-0.9059811430325142
30y,360,1,10073,192512,195511,193806,151,151,delisted,True,-0.7168036159288875,-0.6384727011858136
