analysis,horizon,horizon_months,window,period_number,PERMNO,start_ymm,target_end_ymm,end_ymm,realized_months,observed_rows,missing_calendar_months,is_sparse_history,terminal_reason,included_in_summary,no_post_start_obs,nominal_ret,real_ret,nominal_ret_skip_first_observed,real_ret_skip_first_observed,period_end_mthretflg,period_end_security_end_dt,period_end_security_active_flg,period_end_del_action_type,period_end_del_status_type,period_end_del_reason_type,period_end_del_payment_type,stock_terminal_mthretflg,stock_terminal_security_end_dt,stock_terminal_security_active_flg,stock_terminal_del_action_type,stock_terminal_del_status_type,stock_terminal_del_reason_type,stock_terminal_del_payment_type
calendar_window,10y,120,1925-1935,1,10006,192512,193512,193512,120,120,0,False,complete,True,False,-0.5125379576376956,-0.3677122783851271,,,CR,1984-06-28,Y,MER,FPAY,UNAV,CASH,CR,1984-06-28,Y,MER,FPAY,UNAV,CASH
calendar_window,10y,120,1925-1935,1,10022,192512,193512,193512,120,120,0,False,complete,True,False,2.8886014679017853,4.043910599669704,,,CR,1960-05-03,Y,MER,FPAY,UNAV,STK,CR,1960-05-03,Y,MER,FPAY,UNAV,STK
calendar_window,10y,120,1925-1935,1,10030,192512,193512,193512,120,120,0,False,complete,True,False,0.9087883750756149,1.4758921676705445,,,CR,1968-12-26,Y,MER,FPAY,UNAV,UNAV,CR,1968-12-26,Y,MER,FPAY,UNAV,UNAV
calendar_window,10y,120,1925-1935,1,10049,192512,193512,193208,80,80,0,False,delisted,True,False,-0.9327031238080782,-0.9107693271233037,,,CR,1932-09-28,Y,GDR,VCL,UNAV,PRCF,CR,1932-09-28,Y,GDR,VCL,UNAV,PRCF
calendar_window,10y,120,1925-1935,1,10057,192512,193512,193512,120,120,0,False,complete,True,False,0.445700956550962,0.8752208059610316,,,CR,1996-07-02,Y,MER,FPAY,UNAV,CASH,CR,1996-07-02,Y,MER,FPAY,UNAV,CASH
calendar_window,10y,120,1925-1935,1,10073,192512,193512,193512,120,120,0,False,complete,True,False,-0.7728547278983038,-0.7053695383608434,,,CR,1938-07-27,Y,GLI,FPAY,UNAV,UNAV,CR,1938-07-27,Y,GLI,FPAY,UNAV,UNAV
calendar_window,10y,120,1925-1935,1,10081,192512,193512,193105,65,65,0,False,delisted,True,False,-0.9677507970855554,-0.96227054038114,,,CR,1931-06-18,Y,GDR,VCL,UNAV,PRCF,CR,1931-06-18,Y,GDR,VCL,UNAV,PRCF
calendar_window,10y,120,1925-1935,1,10102,192512,193512,193512,120,120,0,False,complete,True,False,6.23663723058299,8.386652639669222,,,CR,1978-05-05,Y,MER,FPAY,UNAV,CASH,MP,1978-05-05,Y,MER,FPAY,UNAV,CASH
calendar_window,10y,120,1925-1935,1,10110,192512,193512,193101,61,61,0,False,delisted,True,False,-0.9519046858631919,-0.9458549608145367,,,CR,1931-02-14,Y,GDR,VCL,FING,PRCF,CR,1931-02-14,Y,GDR,VCL,FING,PRCF
calendar_window,10y,120,1925-1935,1,10129,192512,193512,192703,15,15,0,False,delisted,True,False,0.3545790924651162,0.4015587141691075,,,CR,1927-04-01,Y,MER,FPAY,UNAV,STK,CR,1927-04-01,Y,MER,FPAY,UNAV,STK
calendar_window,10y,120,1925-1935,1,10137,192512,193512,193512,120,120,0,False,complete,True,False,0.17832358586569175,0.5284052309417344,,,CR,2011-02-25,Y,MER,FPAY,UNAV,STK,CR,2011-02-25,Y,MER,FPAY,UNAV,STK
calendar_window,10y,120,1925-1935,1,10145,192512,193512,193512,120,120,0,False,complete,True,False,1.3698443823472997,2.073928582899759,,,CR,2025-12-31,Y,,UNAV,NACT,UNAV,CR,2025-12-31,Y,,UNAV,NACT,UNAV
calendar_window,10y,120,1925-1935,1,10153,192512,193512,193512,120,120,0,False,complete,True,False,1.4741554431042476,2.2092306109830493,,,CR,1988-12-02,Y,GEX,FPAY,UNAV,UNAV,CR,1988-12-02,Y,GEX,FPAY,UNAV,UNAV
calendar_window,10y,120,1925-1935,1,10161,192512,193512,193512,120,120,0,False,complete,True,False,-0.18984795102119345,0.050849396863815066,,,CR,1993-11-15,Y,MER,FPAY,UNAV,STK,CR,1993-11-15,Y,MER,FPAY,UNAV,STK
calendar_window,10y,120,1925-1935,1,10188,192512,193512,193512,120,120,0,False,complete,True,False,-0.45419700263404306,-0.29203814109777904,,,CR,1978-07-14,Y,MER,FPAY,UNAV,CASH,CR,1978-07-14,Y,MER,FPAY,UNAV,CASH
calendar_window,10y,120,1925-1935,1,10196,192512,193512,193512,120,120,0,False,complete,True,False,-0.782475967394979,-0.7178492620558058,,,CR,1967-12-29,Y,MER,FPAY,UNAV,CNC,DE,1967-12-29,Y,MER,FPAY,UNAV,CNC
