analysis,horizon,horizon_months,window,period_number,PERMNO,start_ymm,target_end_ymm,end_ymm,realized_months,observed_rows,missing_calendar_months,is_sparse_history,terminal_reason,included_in_summary,nominal_ret,real_ret,nominal_ret_skip_first_observed,real_ret_skip_first_observed,period_end_mthretflg,period_end_security_end_dt,period_end_security_active_flg,period_end_del_action_type,period_end_del_status_type,period_end_del_reason_type,period_end_del_payment_type,stock_terminal_mthretflg,stock_terminal_security_end_dt,stock_terminal_security_active_flg,stock_terminal_del_action_type,stock_terminal_del_status_type,stock_terminal_del_reason_type,stock_terminal_del_payment_type
calendar_window,30y,360,1925-1955,1,10006,192512,195512,195512,360,360,0,False,complete,True,2.004558152022059,1.0067757806415991,,,CR,1984-06-28,Y,MER,FPAY,UNAV,CASH,CR,1984-06-28,Y,MER,FPAY,UNAV,CASH
calendar_window,30y,360,1925-1955,1,10022,192512,195512,195512,360,360,0,False,complete,True,11.167467684547452,7.126778789305961,,,CR,1960-05-03,Y,MER,FPAY,UNAV,STK,CR,1960-05-03,Y,MER,FPAY,UNAV,STK
calendar_window,30y,360,1925-1955,1,10030,192512,195512,195512,360,360,0,False,complete,True,5.761655188606647,3.516180144629076,,,CR,1968-12-26,Y,MER,FPAY,UNAV,UNAV,CR,1968-12-26,Y,MER,FPAY,UNAV,UNAV
calendar_window,30y,360,1925-1955,1,10049,192512,195512,193208,80,80,0,False,delisted,True,-0.9327031238080782,-0.9107693271233037,,,CR,1932-09-28,Y,GDR,VCL,UNAV,PRCF,CR,1932-09-28,Y,GDR,VCL,UNAV,PRCF
calendar_window,30y,360,1925-1955,1,10057,192512,195512,195512,360,360,0,False,complete,True,32.75420641161458,21.544787118205285,,,CR,1996-07-02,Y,MER,FPAY,UNAV,CASH,CR,1996-07-02,Y,MER,FPAY,UNAV,CASH
calendar_window,30y,360,1925-1955,1,10073,192512,195512,193806,150,150,0,False,delisted,True,-0.7168036159288875,-0.6404811861792263,,,CR,1938-07-27,Y,GLI,FPAY,UNAV,UNAV,CR,1938-07-27,Y,GLI,FPAY,UNAV,UNAV
calendar_window,30y,360,1925-1955,1,10081,192512,195512,193105,65,65,0,False,delisted,True,-0.9677507970855554,-0.96227054038114,,,CR,1931-06-18,Y,GDR,VCL,UNAV,PRCF,CR,1931-06-18,Y,GDR,VCL,UNAV,PRCF
calendar_window,30y,360,1925-1955,1,10102,192512,195512,195512,360,360,0,False,complete,True,11.465026829765677,7.325521651224081,,,CR,1978-05-05,Y,MER,FPAY,UNAV,CASH,MP,1978-05-05,Y,MER,FPAY,UNAV,CASH
calendar_window,30y,360,1925-1955,1,10110,192512,195512,193101,61,61,0,False,delisted,True,-0.9519046858631919,-0.9458549608145367,,,CR,1931-02-14,Y,GDR,VCL,FING,PRCF,CR,1931-02-14,Y,GDR,VCL,FING,PRCF
calendar_window,30y,360,1925-1955,1,10129,192512,195512,192703,15,15,0,False,delisted,True,0.3545790924651162,0.4015587141691075,,,CR,1927-04-01,Y,MER,FPAY,UNAV,STK,CR,1927-04-01,Y,MER,FPAY,UNAV,STK
calendar_window,30y,360,1925-1955,1,10137,192512,195512,195512,360,360,0,False,complete,True,4.1648138016784815,2.4496330988822876,,,CR,2011-02-25,Y,MER,FPAY,UNAV,STK,CR,2011-02-25,Y,MER,FPAY,UNAV,STK
calendar_window,30y,360,1925-1955,1,10145,192512,195512,195512,360,360,0,False,complete,True,16.244926575634953,10.518066630741266,,,CR,2025-12-31,Y,,UNAV,NACT,UNAV,CR,2025-12-31,Y,,UNAV,NACT,UNAV
calendar_window,30y,360,1925-1955,1,10153,192512,195512,195512,360,360,0,False,complete,True,12.836781473101684,8.241730909273164,,,CR,1988-12-02,Y,GEX,FPAY,UNAV,UNAV,CR,1988-12-02,Y,GEX,FPAY,UNAV,UNAV
calendar_window,30y,360,1925-1955,1,10161,192512,195512,195512,360,360,0,False,complete,True,13.154164762594958,8.453714524270541,,,CR,1993-11-15,Y,MER,FPAY,UNAV,STK,CR,1993-11-15,Y,MER,FPAY,UNAV,STK
calendar_window,30y,360,1925-1955,1,10188,192512,195512,195512,360,360,0,False,complete,True,1.130294203550581,0.4228457553565479,,,CR,1978-07-14,Y,MER,FPAY,UNAV,CASH,CR,1978-07-14,Y,MER,FPAY,UNAV,CASH
calendar_window,30y,360,1925-1955,1,10196,192512,195512,195512,360,360,0,False,complete,True,-0.9890717935693621,-0.9927009367496858,,,CR,1967-12-29,Y,MER,FPAY,UNAV,CNC,DE,1967-12-29,Y,MER,FPAY,UNAV,CNC
calendar_window,30y,360,1925-1955,1,10209,192512,195512,195512,360,360,0,False,complete,True,2.9870679646720864,1.6630043495384395,,,CR,1963-10-21,Y,MER,FPAY,UNAV,UNAV,CR,1963-10-21,Y,MER,FPAY,UNAV,UNAV
