analysis,horizon,window,PERMNO,start_ymm,end_ymm,realized_months,observed_rows,missing_calendar_months,terminal_reason,included_in_summary
stock_anchored,10y,,42140,197212,198211,120,112,8,complete,True
stock_anchored,10y,,49322,198410,199409,120,77,43,complete,True
stock_anchored,10y,,58836,201212,202211,120,23,97,complete,True
stock_anchored,10y,,64426,197807,198806,120,102,18,complete,True
stock_anchored,10y,,66740,198212,199211,120,31,89,complete,True
stock_anchored,10y,,85653,199712,200711,120,63,57,complete,True
stock_anchored,10y,,89805,200308,201307,120,84,36,complete,True
stock_anchored,30y,,42140,197212,200211,360,243,117,complete,True
stock_anchored,30y,,49322,197410,200409,360,317,43,complete,True
stock_anchored,30y,,58836,200212,202512,277,179,98,sample_end,False
stock_anchored,30y,,64426,197807,199507,205,121,84,delisted,True
stock_anchored,30y,,66740,197212,199409,262,173,89,delisted,True
stock_anchored,30y,,85653,199712,201812,253,183,70,delisted,True
stock_anchored,30y,,89805,200308,201403,128,92,36,delisted,True
calendar_window,10y,1975-1985,42140,197512,198512,120,75,45,complete,True
calendar_window,10y,1975-1985,66740,197512,198512,120,105,15,complete,True
calendar_window,10y,1985-1995,49322,198512,199512,120,77,43,complete,True
calendar_window,10y,1985-1995,64426,198512,199507,115,31,84,delisted,True
calendar_window,10y,2005-2015,58836,200512,201512,120,106,14,complete,True
calendar_window,10y,2005-2015,89805,200512,201403,99,63,36,delisted,True
calendar_window,30y,1985-2015,49322,198512,201512,360,317,43,complete,True
calendar_window,30y,1985-2015,58836,198512,201512,360,346,14,complete,True
calendar_window,30y,1985-2015,64426,198512,199507,115,31,84,delisted,True
