window,basis,n,pct_positive,mean,median,min,max,p1,p5,p10,p25,p50,p75,p90,p95,p99
1925-1935,nominal,508,0.4074803149606299,0.32938295684462904,-0.23918528204452422,-0.9962406259797981,25.996736169487548,-0.9923739940066122,-0.968349635447526,-0.9310767467244521,-0.7537877073074107,-0.23918528204452422,0.6869104590554127,2.15705983113767,3.3403857546164692,7.126732041927635
1925-1935,real (CPI-adj),508,0.4881889763779528,0.6878512135880213,-0.06599624222280961,-0.9950881171560866,34.01750561114689,-0.9894398864106569,-0.9584073697507899,-0.9117035501987955,-0.685089347830415,-0.06599624222280961,1.0482034552716768,3.0758839238026345,4.62992065272716,9.541195909456873
1935-1945,nominal,717,0.8758716875871687,2.062924567561397,1.4006242487579992,-0.9692307868010321,77.88011843734468,-0.9258770184041765,-0.5887705876548311,-0.1729702711260557,0.6068870743498582,1.4006242487579992,2.6621562804871552,4.469346591119296,5.963706515379565,10.414031538768144
1935-1945,real (CPI-adj),717,0.8382147838214784,1.3437723407845095,0.8380963687503331,-0.9696703469895888,58.81019969425039,-0.9295243999936674,-0.6238727069133823,-0.30778879737968984,0.25052174979447206,0.8380963687503331,1.776799817072682,3.172323045396501,4.397906647925494,7.654595342582448
1945-1955,nominal,852,0.8849765258215962,2.448438133264641,1.6486578458135146,-0.9514932631339112,21.340475134943908,-0.7804956051425003,-0.41157275350068484,-0.03829307133346479,0.6235489541983027,1.6486578458135146,3.45465303229904,6.002407180084563,7.907372719740426,12.60518370611868
1945-1955,real (CPI-adj),852,0.7887323943661971,1.3468156587201021,0.7987154027539541,-0.9670588577998949,14.17151669611863,-0.8509335825967728,-0.6003964221534503,-0.3452765205660814,0.1054716152692903,0.7987154027539541,2.045716955648549,3.7553660700574287,5.04903669773417,8.239341173558207
1955-1965,nominal,1050,0.8904761904761904,2.0329587309968784,1.5290427221018217,-0.9444446010681132,21.81400431823224,-0.6790725640540726,-0.2856814400447943,-0.02700155372675196,0.5584093127223761,1.5290427221018217,2.7864064554640304,4.268585979659929,5.935721183213223,12.428329471034024
1955-1965,real (CPI-adj),1050,0.8580952380952381,1.574690838159506,1.1407243898821473,-0.9511841084795224,18.226896721025906,-0.724828010721635,-0.3818816281161191,-0.12938039139687113,0.35017350650333323,1.1407243898821473,2.191787761864598,3.4401919577008226,4.845198984594792,10.316956912695352
1965-1975,nominal,2168,0.5927121771217713,0.5279005012009859,0.1679519010023389,-0.9999301368186514,17.62402575322555,-0.9230978452983959,-0.7998016004278933,-0.6727169919304071,-0.3123551089087013,0.1679519010023389,0.8532466225667599,1.859022252206485,2.9270597454549545,7.317430351829506
1965-1975,real (CPI-adj),2168,0.37961254612546125,0.028640587686306403,-0.2348317400394848,-0.9999340756923772,16.36785979333057,-0.9530969247510137,-0.8774265327935299,-0.8028508221567826,-0.5849998184215898,-0.2348317400394848,0.3119977458645382,0.9334919556756569,1.623627083905477,4.221800352965287
1975-1985,nominal,5073,0.8777843485117287,5.770847316247004,2.95472293127394,-0.999994785641534,158.78485709051634,-0.8842138121389125,-0.5416882712642108,-0.1235015097577543,0.8571424576609565,2.95472293127394,6.546467450938757,12.619893616720859,20.33080036412633,52.121733593065336
1975-1985,real (CPI-adj),5073,0.7969643209146462,2.6936616779959546,1.3330588078076988,-0.9999953990954712,80.13503722345534,-0.9332245149218767,-0.7344840119149016,-0.491038627149024,0.19132579184258133,1.3330588078076988,3.1727739735290585,6.0627832089863976,10.16397257253989,25.973981833624215
1985-1995,nominal,6298,0.5747856462369006,1.177150978420046,0.2468360614736227,-0.9999974193574023,141.59409515088282,-0.9902597429198404,-0.9600477038950201,-0.9109884525612654,-0.5832870308538451,0.2468360614736227,1.6196955125962078,3.543327349047234,5.552882364993005,14.642964966301838
